param,value,unit,comment
,acetaldehyde,,
A,56847.187226472546,MHz,PAM Rotational Constant
B,10126.320275093807,MHz,PAM Rotational Constant
C,9076.514014305507,MHz,PAM Rotational Constant
A,1.896218057175826,cm-1,PAM Rotational Constant
B,0.33777768602483677,cm-1,PAM Rotational Constant
C,0.3027599184735163,cm-1,PAM Rotational Constant
Paa,48.348596977334196,amu A^2,PAM Second Moment
Pbb,7.33126076815131,amu A^2,PAM Second Moment
Pcc,1.5588714230521958,amu A^2,PAM Second Moment
Delta,-3.11774284610439,amu A^2,PAM Intertial Defect
Rotor,[1 4 5 6],index,Atoms in rotor
A (rotor),267664.48741650145,MHz,Rotational Constant of Rotor Atoms
B (rotor),257627.48975806872,MHz,Rotational Constant of Rotor Atoms
C (rotor),158361.37534467614,MHz,Rotational Constant of Rotor Atoms (F0)
A (rotor),8.928326256176247,cm-1,Rotational Constant of Rotor Atoms
B (rotor),8.593528051932138,cm-1,Rotational Constant of Rotor Atoms
C (rotor),5.282366888118184,cm-1,Rotational Constant of Rotor Atoms (F0)
I_alpha,3.191302222789304,amu A^2,Rotor Moment of Inertia
lambda_a,0.9394659649912154,,Direction Cosine of Rotor
lambda_b,0.3426422341497121,,Direction Cosine of Rotor
lambda_c,1.3497404302630418e-07,,Direction Cosine of Rotor
rho_a,0.3372413095586932,,Component of rho Axis
rho_b,0.021910045901166242,,Component of rho Axis
rho_c,7.736064368153457e-09,,Component of rho Axis
r,0.6756659606026417,,r Parameter for F Calculation
rho,0.33795229098831925,,Magnitude of rho Vector
F,234378.2054721686,MHz,RAM Torsion-Rotational Constant
A_ram,56727.592551359376,MHz,RAM Rotational Constant
B_ram,10105.016600409483,MHz,RAM Rotational Constant
C_ram,9076.514014305503,MHz,RAM Rotational Constant
D_ab,3028.9965972811533,MHz,RAM Off-Diagonal Rotational Constant
D_bc,-1.4264120005467231e-05,MHz,RAM Off-Diagonal Rotational Constant
D_ac,0.0010935182649556927,MHz,RAM Off-Diagonal Rotational Constant
F,7.818015404249048,cm-1,RAM Torsion-Rotational Constant
A_ram,1.8922288082163619,cm-1,RAM Rotational Constant
B_ram,0.33706707192778956,cm-1,RAM Rotational Constant
