param,Parent,C0-13,C1-13,O2-18,H3-2,H4-2,H5-2,H6-2,unit
A,56847.187226472546,55755.723673334396,56681.03021551121,56230.42900510829,45182.2763388179,48681.98438274971,52460.81613099486,52461.95934406609,MHz
B,10126.320275093807,10123.18281913227,9819.143684511835,9639.34363835148,10120.236804048574,9830.815102023656,9380.355520036876,9380.338150044467,MHz
C,9076.514014305507,9045.72803701651,8824.93024269207,8668.79019829343,8712.67057783438,8613.7595413656,8568.924630763167,8568.848885797572,MHz
A,1.896218057175826,1.8598107519213973,1.8906756558736113,1.8756452173692872,1.5071185125950668,1.6238562073082474,1.749904466609192,1.7499426000925644,cm-1
B,0.33777768602483677,0.3376730317589333,0.32753137787448394,0.32153389390307746,0.33757476327335006,0.327920694456685,0.31289498016780914,0.31289440076722896,cm-1
C,0.3027599184735163,0.3017330088075968,0.29436798715903884,0.2891597158956357,0.29062340780548857,0.28732409076700655,0.2858285591281675,0.28582603254807604,cm-1
Paa,48.348596977334196,48.36406469011286,49.90987426182768,50.86990672847145,48.37859732661021,49.8487691099095,51.610486884991396,51.61090240091933,amu A^2
Pbb,7.33126076815131,7.505292322760788,7.3573216528302225,7.428771354766397,9.626466060860718,8.822361273341834,7.3676265794546225,7.367732404868427,amu A^2
Pcc,1.5588714230521958,1.5588714230527678,1.5588714230524232,1.5588714230527927,1.558871423059827,1.5588714465083342,2.265830282510752,2.265514531773082,amu A^2
Delta,-3.11774284610439,-3.117742846105532,-3.11774284610485,-3.1177428461055854,-3.1177428461196524,-3.11774289301667,-4.531660565021507,-4.531029063546164,amu A^2
Rotor,[1 4 5 6],[1 4 5 6],[1 4 5 6],[1 4 5 6],[1 4 5 6],[1 4 5 6],[1 4 5 6],[1 4 5 6],index
A (rotor),267664.4874165015,267664.48741650145,266930.68729180674,267664.48741650203,267664.4874165013,260863.29504514133,254725.17788471098,254725.21827312247,MHz
B (rotor),257627.48975806867,257627.48975806872,256945.85045032797,257627.48975806896,257627.48975806867,166334.87445658812,169203.11649517767,169203.0947011357,MHz
C (rotor),158361.37534467614,158361.37534467614,158360.70294643997,158361.3753446763,158361.37534467605,119794.03470507421,119590.45938332315,119590.45901550839,MHz
A (rotor),8.928326256176248,8.928326256176247,8.903849318711238,8.928326256176264,8.92832625617624,8.701462898214114,8.496717348530195,8.496718695742588,cm-1
B (rotor),8.593528051932136,8.593528051932138,8.570791012038333,8.593528051932145,8.593528051932136,5.548334189801003,5.644008445842146,5.644007718871157,cm-1
C (rotor),5.282366888118184,5.282366888118184,5.282344459327258,5.282366888118188,5.282366888118181,3.9958988796534105,3.989108337852954,3.989108325583974,cm-1
I_alpha,3.191302222789304,3.1913022227893038,3.191315773032172,3.191302222789301,3.1913022227893055,4.2187326805182686,4.225914105083797,4.225914118081102,amu A^2
lambda_a,-0.9205061977077206,-0.9210006521996562,-0.9223032093021984,-0.9158530450156953,-0.9230579392913403,-0.9727108591566048,-0.8812181172604564,-0.8811990629436888,
lambda_b,0.39072796160706763,0.3895610332768891,0.38646706212924986,0.40151363605164675,0.38466094253410255,0.23202065282554238,0.45603364708170896,0.45608231324667553,
lambda_c,-2.4654801908661045e-07,-2.2434760009575273e-07,-2.2669936243581293e-07,-2.535356476367899e-07,6.474841181365494e-10,-3.378208347685884e-05,0.12445056263951493,-0.12440713408292361,
rho_a,-0.3304352974349079,-0.3242650409876674,-0.330114069347127,-0.3251980447554162,-0.26335878176750904,-0.3952909255538005,-0.38656446224295504,-0.3865645285982718,
rho_b,0.024984858025235254,0.02490252153019455,0.023962861630272746,0.024439847816186088,0.024582129444384822,0.01904061536448203,0.03577005858815179,0.03577380969792521,
rho_c,-1.4130949201270074e-08,-1.2814913812200249e-08,-1.2633222904014588e-08,-1.3878683058720148e-08,3.562305400180404e-11,-2.4290921045643373e-06,0.008917161929246539,-0.008913971407480657,
r,0.6860699781225276,0.6916506337463046,0.6862738776708721,0.6923534483163725,0.7474488005258328,0.6110784080986262,0.6419302962889387,0.6419349361151563,
rho_Ra,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,rad
rho_Rb,4.264292342655292e-08,3.9403848560361923e-08,3.8168836752612705e-08,4.255761850043939e-08,-1.3467892484646004e-10,6.137957726233672e-06,-0.022963538159477107,0.02295530190359213,rad
rho_Rc,0.07539673184145645,0.07657134503805627,0.07239914633348822,0.07494239296116323,0.09293685947977941,0.04811282864452232,0.09211530662706724,0.09212488623963618,rad
rho_Ra,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,deg
rho_Rb,2.4432595384410292e-06,2.257674219081383e-06,2.1869132548485307e-06,2.4383719262030484e-06,-7.716533983061759e-09,0.0003516790725429046,-1.3157138192256526,1.3152419165244535,deg
rho_Rc,4.319914523595083,4.387214902320622,4.148165525258923,4.293882823285581,5.324889809391755,2.756662021767262,5.277818298284416,5.278367169653986,deg
theta_a,0.3907279616071454,0.38956103327695374,0.3864670621293164,0.4015136360517268,0.38466094253410255,0.23202065528486907,0.4727098791139619,0.47274539814488425,rad
