param,value,unit
,examples/acetaldehyde.xyz,
A,56847.187226472546,MHz
B,10126.320275093807,MHz
C,9076.514014305507,MHz
A,1.896218057175826,cm-1
B,0.33777768602483677,cm-1
C,0.3027599184735163,cm-1
ID,-3.11774284610439,amu A^2
A (CH3),267664.48741650145,MHz
B (CH3),257627.4897580687,MHz
C (CH3),158361.3753446761,MHz
A (CH3),8.928326256176247,cm-1
B (CH3),8.593528051932136,cm-1
C (CH3),5.282366888118183,cm-1
I_alpha,3.1913022227893046,amu A^2
lambda_a,-0.9302968186550009,
lambda_b,-0.3668076187864764,
lambda_c,-7.614760184693406e-07,
rho_a,-0.3339498492682833,
rho_b,-0.023455286486947332,
rho_c,-4.364415084266244e-08,
r,0.680723939851134,
Ra,0.0,rad
Rb,1.3036956700683567e-07,rad
Rc,-0.0700633529186581,rad
Ra,0.0,deg
Rb,7.469625966439669e-06,deg
Rc,-4.014334420774707,deg
rho,0.3347725381367113,
F,232636.70641480276,MHz
A_ram,56707.71647091714,MHz
B_ram,10101.47602846236,MHz
C_ram,9076.51401430543,MHz
D_ab,-3979.6467450821065,MHz
D_bc,-4.6228642236308716e-05,MHz
D_ac,-0.0074050812783519,MHz
F,7.7599252485131816,cm-1
A_ram,1.891565813537482,cm-1
B_ram,0.33694897115998695,cm-1
C_ram,0.3027599184735138,cm-1
D_ab,-0.13274672657315836,cm-1
D_bc,-1.5420215219793394e-09,cm-1
D_ac,-2.4700692364822266e-07,cm-1
C0,12.0,amu
C1,12.0,amu
O2,15.99491461926,amu
H3,1.007825031898,amu
H4,1.007825031898,amu
H5,1.007825031898,amu
H6,1.007825031898,amu
